,excercise_name,utility,mechanics,force,preparation,execution,comments,dynamic_articulation,static_articulation
32,Kipping Handstand Push-up,['Power'],['Compound'],['Push'],Kneel facing close to wall. Place top of head near wall. Position hands on floor to sides within sight so head and hands form triangle. Straighten knees and place knees on elbows. Lift both feet off of floor. Raise knees off of elbows by straightening spine. Allow hips to make contact with wall momentarily in this lower position.,['Rapidly extend legs up and back onto wall while pushing body upward with shoulders and arms. Pull head between arms while extending arms straight. Lower head to floor then lower legs by bending hips and knees until fully flexed. Kick legs up and repeat movement.'],"In lower position, hips make contact with wall. In extended position, back of feet make contact with wall. Kipping Handstand Push-up is a common Crossfit movement. Related movements include Push Press.","['Elbow (Extension)', 'Shoulder (Flexion)', 'Spine (Lumbar ) (Extension)', 'Knee (Extension)', 'Scapula & Clavicle (Upward Rotation)', 'Hip (Extension)', 'Shoulder (Abduction)']",[]
33,Pull-up (with kip),['Power'],['Compound'],['Pull'],Step up and grasp bar with overhand wide grip. Swing legs forward and back to gain momentum. Retract shoulder girdle and hyperextend spine on back swing.,"['Swing legs forward and high, so thighs become horizontal. Swing upward behind bar, quickly open hips and pull body toward bar until upper chest makes contact. Allow body to fall back and under bar. As body swings under bar, swing legs back. Immediately repeat.']","To avoid wear on bare hands from sudden shifting movements, use adequate chalk and/or grasp bar with fingers instead of palms and fingers. This technique will obviously require greater grip endurance.","['Shoulder Girdle (Retraction)', 'Hip (Flexion)', 'Elbow (Flexion)', 'Hip (Extension)', 'Shoulder (Transverse Extension)', 'Shoulder (Extension)', 'Shoulder Girdle (Downward Rotation)', 'Shoulder (Adduction)', 'Spine (Extension)', 'Spine (Flexion)']",[]
34,Butterfly Pull-up,['Power'],['Compound'],['Pull'],Step up and grasp bar with overhand wide grip. Flex knees with hips straight (heels to but).,"[""Kick legs forward and swing upward behind bar. Quickly straighten hips, pull chest toward bar. As chest approaches bar, shift body's direction downward and forward under bar by continuing to kick feet back while hyperextending spine. Allow face to clear under bar, knees to flex behind, and arms to extend fully. Repeat.""]","Unlike Kipping Pull-up, forward leg kick is not as high, rear kick is directed more upward, and chin does not go over bar, allowing for clearance of face traveling behind and under bar.","['Shoulder Girdle (Retraction)', 'Hip (Flexion)', 'Elbow (Flexion)', 'Shoulder (Transverse Flexion)', 'Hip (Extension)', 'Shoulder (Transverse Extension)', 'Shoulder (Extension)', 'Shoulder (Internal Rotation)', 'Shoulder Girdle (Downward Rotation)', 'Shoulder (Adduction)', 'Spine (Extension)', 'Spine (Flexion)']",[]
35,Muscle-up (on horizontal bar),['Power'],['Compound'],"['Pull', 'Push']",Jump up and grasp high vertical bar with shoulder width or slightly wider grip. Grip higher around bar with wrists flexed and palm positioned over bar.,"['Dip body down toward bar, then lower body down behind bar until arms are straight. At bottom just before backswing, immediately repeat movement.']",Alternative method involves hanging from bar with wrists in neutral position and relying more heavily on backswing. Translated from certain languages as Power Straight or Up On One. See rear view.,"['Shoulder Girdle (Retraction)', 'Hip (Flexion)', 'Elbow (Flexion)', 'Shoulder (Extension)', 'Elbow (Extension)', 'Shoulder (Transverse Adduction)', 'Shoulder (Internal Rotation)', 'Shoulder Girdle (Downward Rotation)', 'Shoulder (Adduction)']","['Wrists (Flexion)', 'Spine (Flexion)']"
36,Windmill Push-up (on medicine ball),['Specialized'],['Compound'],['Push'],"Kneel before medicine ball. Place one hand on top of ball and other hand on floor, slightly wider than shoulder width away. Position upper body above both hands with one arm straight on floor and other arm bent with hand on ball. Straighten body with forefeet back away from ball on floor, shoulder width apart.","['Keeping body straight, lower body by bending arms until slight stretch is felt in shoulder or chest. Push body up by extending arms. Support upper body weight on medicine ball as hand on floor is raised off of floor. Rotate body, facing toward opposite direction of ball and lift extended arm back and over body. Lower raised arm and body, back down to original position. Repeat. Continue with medicine ball under opposite hand.']",Also known as Push-up to Side Plank on Medicine Ball.,"['Hip (Flexion)', 'Shoulder (Transverse Extension / Extension)', 'Scapula & Clavicle (Protraction)', 'Shoulder (Transverse Flexion / Flexion)', 'Elbow (Extension)', 'Wrist (Flexion)', 'Spine (Thoracic, Lumbar) (Rotation)', 'Hip (Internal Rotation)']","['Spine (Thoracic, Lumbar) (Flexion)', 'Knee (Extension)', 'Hip (Abduction)', 'Hip (Adduction)', 'Scapula & Clavicle (Depression)']"
37,Suspended Muscle-up,['Power'],['Compound'],"['Pull', 'Push']","Hang from rings with wrists flexed, allowing palms to face downward.","['Lower body by bending arms until elbows are behind shoulders. As elbows fall below wrists from behind, wrist become flexed since palms remain facing downward. Body is lowered under rings and arms straighten until body is hanging downward. Repeat.']","Two platforms of same height can be placed to each side of floor, allowing for easier mounting with clearance below. See mounting image.","['Shoulder Girdle (Retraction)', 'Hip (Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Shoulder (Extension)', 'Elbow (Extension)', 'Shoulder (Transverse Adduction)', 'Shoulder (Internal Rotation)', 'Shoulder Girdle (Downward Rotation)', 'Shoulder (Adduction)']","['Wrists (Flexion)', 'Spine (Flexion)']"
38,Suspended Muscle-up (with kip),['Power'],['Compound'],"['Pull', 'Push']","Hang from rings with wrists flexed, allowing palms to face downward. Swing body forward and back to gain momentum. Retract shoulder girdle and hyperextend spine on back swing.","['Dip body downward with hips slightly bent by bending arms until elbows are behind shoulders. Allow elbows to fall below wrists from behind, thereby flex wrist with palms remaining faced downward. As torso falls back, extend knees slightly while slowing descent of upper body with arms, thereby positioning body nearly horizontal. As arms extend and further descent of upper body stopped, allow legs to swing back under and behind body. Repeat.']","Two platforms of same height can be placed to each side of floor, allowing for easier mounting with clearance below. See mounting image.","['Shoulder Girdle (Retraction)', 'Hip (Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Shoulder (Transverse Extension)', 'Shoulder (Extension)', 'Elbow (Extension)', 'Shoulder (Internal Rotation)', 'Shoulder Girdle (Downward Rotation)', 'Shoulder (Adduction)', 'Spine (Extension)', 'Spine (Flexion)']",['Wrists (Flexion)']
39,Suspended Muscle-up (self-assisted),['Power'],['Compound'],"['Pull', 'Push']",Position suspended handles lower than arms reach from floor. Stand between handles and grasp with wrists flexed. Squat down until arms are extended straight up.,"['Push off floor with legs and pull body up to handles with wrists flexed inward. Bring legs forward during pull-up phase. Pulling above handles, wing elbows outward and behind handles so wrists flex forward. Lean shoulders forward over handles so elbows can continue to rise above handles from behind. Push body upward until arms and legs are straight.', 'Return', 'Lower body into dip position. Allow elbows to fall behind handles. Lower body with wrists flexed until arms are straight overhead and feet are on floor with legs in original squat position. Repeat.']",Keep wrists flexed until elbows rise above handles. Translated from certain languages as Power Straight or Up On One. See rear view.,"['Shoulder Girdle (Retraction)', 'Hip (Flexion)', 'Ankle (Plantar Flexion)', 'Elbow (Flexion)', 'Shoulder (Flexion)', 'Hip (Extension)', 'Shoulder (Extension)', 'Elbow (Extension)', 'Shoulder (Transverse Adduction)', 'Knee (Extension)', 'Shoulder (Internal Rotation)', 'Shoulder Girdle (Downward Rotation)', 'Shoulder (Adduction)']",['Wrists (Flexion)']
40,Suspended Prone Mount / Dismount,[],[],[],,[],See Gravity Vectors for greater understanding of body angle influences resistance. Exercise using this mount and dismount include:,[],"['Shoulder (Transverse Adduction)', 'Shoulder (Flexion)', 'Scapular (Protraction)', 'Scapular (Depression)', 'Spine (Thoracic, Lumbar) (Flexion)', 'Knee (Extension)', 'Ankle (Plantar Flexion)']"
41,Suspended Prone Feet Mount / Dismount,[],[],[],,[],Intended exercise can be made easier by lying closer under anchor of suspension trainer.,[],[]
42,Suspended Supine Feet Mount / Dismount,[],[],[],,[],"Intended exercise can be made easier by lying closer under anchor of suspension trainer. Movement can be made more challenging by lying further back, away horizontally from anchor of suspension trainer. Also see Gravity Vectors for greater understanding of body angle influences resistance. Exercise using this mount and dismount include:","['Hips (Flexion)', 'Spine (Thoracic, Lumbar) (Flexion)']",[]
